,Ocorrências,Ocorrências,Ocorrências,Ocorrências,Ocorrências
,count,mean,std,min,max
UF,,,,,
Acre,589,14.57,27.48,0,142
Alagoas,593,64.08,83.86,0,385
Amapá,547,19.49,21.22,0,102
Amazonas,594,73.37,98.64,0,640
Bahia,593,275.46,345.26,0,1418
Ceará,594,191.84,252.44,0,1183
Distrito Federal,594,112.17,174.43,0,644
Espírito Santo,594,116.84,150.05,0,673
Goiás,593,239.35,356.97,0,1485
Maranhão,594,101.55,115.06,0,470
Mato Grosso,594,86.57,93.69,0,406
Mato Grosso do Sul,594,68.68,95.43,0,373
Minas Gerais,593,408.6,642.85,0,2611
Paraná,558,346.15,490.93,0,1829
Paraíba,592,40.81,64.66,0,380
Pará,594,165.38,180.67,0,857
Pernambuco,594,274.09,378.67,0,1908
Piauí,594,74.42,104.35,0,452
Rio Grande do Norte,578,87.56,161.57,0,703
Rio Grande do Sul,593,360.07,535.07,0,2116
Rio de Janeiro,594,735.58,1107.74,0,5358
Rondônia,558,61.92,79.03,0,334
Roraima,594,16.01,21.51,0,124
Santa Catarina,594,164.32,296.74,0,1355
Sergipe,593,50.63,64.73,0,285
São Paulo,574,1803.18,2880.35,0,10518
Tocantins,592,35.23,45.23,0,192
